ISR_Number,A/C Status,ISR Status,Pri,Squadron,Location,State/Country,Region,Longitude,Latitude,RCN,BUNO,TMS,PLATFORM,TYPE,Date Created,TAT,Repair Category
1,2,Archived,103,SQD-83,NIPPI,Japan,PACIFIC,139.482422,35.569842,,165869,FA-18E,F-18 SUPERS,FIXED WING,10/8/2013 23:11,4,CORROSION
2,2,Archived,103,SQD-83,NIPPI,Japan,PACIFIC,139.482422,35.569842,,165869,FA-18E,F-18 SUPERS,FIXED WING,12/6/2013 23:11,5,CORROSION
3,2,Archived,103,SQD-83,NIPPI,Japan,PACIFIC,139.482422,35.569842,,165869,FA-18E,F-18 SUPERS,FIXED WING,1/1/2014 23:11,14,CORROSION
4,2,Archived,103,SQD-83,NIPPI,Japan,PACIFIC,139.482422,35.569842,,165869,FA-18E,F-18 SUPERS,FIXED WING,9/19/2013 23:11,9,CORROSION
5,2,Archived,103,SQD-83,NAF Atsugi JP,Japan,PACIFIC,139.482422,35.569842,,165869,FA-18E,F-18 SUPERS,FIXED WING,10/4/2013 23:11,22,MINOR DEFECT
6,2,Archived,103,SQD-83,NAF Atsugi JP,Japan,PACIFIC,139.482422,35.569842,,165869,FA-18E,F-18 SUPERS,FIXED WING,12/18/2013 23:11,19,CORROSION
7,2,Archived,103,SQD-83,NAF Atsugi JP,Japan,PACIFIC,139.482422,35.569842,,165869,FA-18E,F-18 SUPERS,FIXED WING,9/21/2013 23:11,23,CORROSION
8,2,Archived,103,SQD-112,MCAS Futenma JP,Okinawa,PACIFIC,127.776381,26.290622,,166763,KC-130J,C-130,FIXED WING,10/22/2013 23:11,14,MINOR DEFECT
9,2,Archived,103,SQD-70,NAF Atsugi JP,Japan,PACIFIC,139.482422,35.569842,,166892,FA-18F,F-18 SUPERS,FIXED WING,10/22/2013 23:11,6,MINOR DEFECT
10,2,Archived,103,SQD-63,NAF Atsugi JP,Japan,PACIFIC,139.482422,35.569842,,166932,EA-18G,EA-18,FIXED WING,12/9/2013 23:11,10,MINOR DEFECT
11,2,Archived,103,SQD-16,Djibouti,Djibouti,CENTCOM,42.590275,11.825138,,162010,CH-53E,H-53,ROTOR,11/30/2013 23:11,2,CRACK
12,2,Archived,103,SQD-102,Kadena AB Okinawa JP,Okinawa,PACIFIC,127.961246,26.364453,,165528,FA-18D,F-18 LEGACY,FIXED WING,10/19/2013 23:11,9,FUEL CELL
13,2,Archived,103,SQD-115,Afghanistan,Afghanistan,CENTCOM,63.800354,31.313168,,166745,MV-22B,V-22,ROTOR,11/19/2013 23:11,4,MINOR DEFECT
14,2,Archived,103,SQD-37,Andersen AB Guam,Guam,PACIFIC,144.929495,13.582484,,167815,MH-60S,H-60,ROTOR,9/23/2013 23:11,6,CORROSION
15,2,Archived,103,SQD-102,Kadena AB Okinawa JP,Okinawa,PACIFIC,127.961246,26.364453,,165531,FA-18D,F-18 LEGACY,FIXED WING,12/6/2013 23:11,15,FUEL CELL
16,2,Archived,103,SQD-37,Andersen AB Guam,Guam,PACIFIC,144.929495,13.582484,,167815,MH-60S,H-60,ROTOR,12/15/2013 23:11,21,MINOR DEFECT
18,2,Archived,103,SQD-76,USS Stennis,CVN,AFLOAT,92.726328,-6.54528,,166431,FA-18E,F-18 SUPERS,FIXED WING,11/29/2013 23:11,25,FUEL CELL
20,2,Archived,103,SQD-57,USS Stennis,CVN,AFLOAT,92.726328,-6.54528,,163048,EA-6B,EA-6B,FIXED WING,12/16/2013 23:11,19,MINOR DEFECT
21,2,Archived,103,SQD-78,USS Stennis,CVN,AFLOAT,92.726328,-6.54528,,164045,FA-18C,F-18 LEGACY,FIXED WING,11/2/2013 23:11,29,FUEL CELL
22,2,Archived,103,SQD-102,MCAS Iwakuni JP,Japan,PACIFIC,132.235007,34.147852,,164667,FA-18D,F-18 LEGACY,FIXED WING,12/6/2013 23:11,20,CRACK
23,2,Archived,103,SQD-78,USS Stennis,CVN,AFLOAT,92.726328,-6.54528,,164021,FA-18C,F-18 LEGACY,FIXED WING,11/25/2013 23:11,9,MINOR DEFECT
24,2,Archived,103,SQD-76,USS Stennis,CVN,AFLOAT,92.726328,-6.54528,,166431,FA-18E,F-18 SUPERS,FIXED WING,10/22/2013 23:11,11,CRACK
25,2,Archived,103,SQD-136,Bahrain,Bahrain,CENTCOM,50.5577,26.0667,,162171,C-2A,E-2/C-2,FIXED WING,12/7/2013 23:11,24,CORROSION
28,2,Archived,103,SQD-37,Andersen AB Guam,Guam,PACIFIC,144.929495,13.582484,,167819,MH-60S,H-60,ROTOR,11/28/2013 23:11,24,MINOR DEFECT
29,1,Archived,103,SQD-101,Andersen AB Guam,Guam,PACIFIC,144.929495,13.582484,,165680,FA-18D,F-18 LEGACY,FIXED WING,11/10/2013 23:11,112,BUSHING REPAIR
30,1,Archived,103,SQD-112,MCAS Futenma JP,Okinawa,PACIFIC,127.776381,26.290622,,167106,KC-130J,C-130,FIXED WING,11/19/2013 23:11,16,CRACK
31,1,Archived,103,SQD-112,MCAS Futenma JP,Okinawa,PACIFIC,127.776381,26.290622,,167109,KC-130J,C-130,FIXED WING,10/7/2013 23:11,4,CRACK
