ISR_Number,A/C Status,ISR Status,Pri,Squadron,Location,State/Country,Region,Longitude,Latitude,BUNO,TMS,PLATFORM,TYPE,Date Created,TAT,Repair Category
1,2,Archived,103,SQD-83,NIPPI,Japan,PACIFIC,139.482422,35.569842,165869,FA-18E,F-18 SUPERS,FIXED WING,1/22/2014 23:11,69,Corrosion
2,2,Archived,103,SQD-83,NIPPI,Japan,PACIFIC,139.482422,35.569842,165869,FA-18E,F-18 SUPERS,FIXED WING,1/22/2014 23:11,13,Corrosion
3,2,Archived,103,SQD-83,NIPPI,Japan,PACIFIC,139.482422,35.569842,165869,FA-18E,F-18 SUPERS,FIXED WING,1/22/2014 23:11,11,Corrosion
4,2,Archived,103,SQD-83,NIPPI,Japan,PACIFIC,139.482422,35.569842,165869,FA-18E,F-18 SUPERS,FIXED WING,1/22/2014 23:11,58,Corrosion
5,2,Archived,103,SQD-83,NAF Atsugi JP,Japan,PACIFIC,139.482422,35.569842,165869,FA-18E,F-18 SUPERS,FIXED WING,1/22/2014 23:11,30,
6,2,Archived,103,SQD-83,NAF Atsugi JP,Japan,PACIFIC,139.482422,35.569842,165869,FA-18E,F-18 SUPERS,FIXED WING,1/22/2014 23:11,21,Corrosion
7,2,Archived,103,SQD-83,NAF Atsugi JP,Japan,PACIFIC,139.482422,35.569842,165869,FA-18E,F-18 SUPERS,FIXED WING,1/22/2014 23:11,38,Corrosion
8,2,Archived,103,SQD-112,MCAS Futenma JP,Okinawa,PACIFIC,127.776381,26.290622,166763,KC-130J,C-130,FIXED WING,1/22/2014 23:11,72,
9,2,Archived,103,SQD-70,NAF Atsugi JP,Japan,PACIFIC,139.482422,35.569842,166892,FA-18F,F-18 SUPERS,FIXED WING,1/22/2014 23:11,94,
10,2,Archived,103,SQD-63,NAF Atsugi JP,Japan,PACIFIC,139.482422,35.569842,166932,EA-18G,EA-18,FIXED WING,1/22/2014 23:11,42,
11,2,Archived,103,SQD-16,Djibouti,Djibouti,CENTCOM,42.590275,11.825138,162010,CH-53E,H-53,ROTOR,1/22/2014 23:11,18,Crack
12,2,Archived,103,SQD-102,Kadena AB Okinawa JP,Okinawa,PACIFIC,127.961246,26.364453,165528,FA-18D,F-18 LEGACY,FIXED WING,1/22/2014 23:11,60,FUEL CELL
13,2,Archived,103,SQD-115,Afghanistan,Afghanistan,CENTCOM,63.800354,31.313168,166745,MV-22B,V-22,ROTOR,1/22/2014 23:11,3,
14,2,Archived,103,SQD-37,Andersen AB Guam,Guam,PACIFIC,144.929495,13.582484,167815,MH-60S,H-60,ROTOR,1/22/2014 23:11,7,Corrosion
15,2,Archived,103,SQD-102,Kadena AB Okinawa JP,Okinawa,PACIFIC,127.961246,26.364453,165531,FA-18D,F-18 LEGACY,FIXED WING,1/22/2014 23:11,14,FUEL CELL
16,2,Archived,103,SQD-37,Andersen AB Guam,Guam,PACIFIC,144.929495,13.582484,167815,MH-60S,H-60,ROTOR,1/22/2014 23:11,10,
22,2,Archived,103,SQD-102,MCAS Iwakuni JP,Japan,PACIFIC,132.235007,34.147852,164667,FA-18D,F-18 LEGACY,FIXED WING,1/22/2014 23:11,64,Crack
25,2,Archived,103,SQD-136,Bahrain,Bahrain,CENTCOM,50.5577,26.0667,162171,C-2A,E-2/C-2,FIXED WING,1/22/2014 23:11,50,Corrosion
28,2,Archived,103,SQD-37,Andersen AB Guam,Guam,PACIFIC,144.929495,13.582484,167819,MH-60S,H-60,ROTOR,1/22/2014 23:11,15,
29,1,Archived,103,SQD-101,Andersen AB Guam,Guam,PACIFIC,144.929495,13.582484,165680,FA-18D,F-18 LEGACY,FIXED WING,1/22/2014 23:11,16,BUSHING REPAIR
30,1,Archived,103,SQD-112,MCAS Futenma JP,Okinawa,PACIFIC,127.776381,26.290622,167106,KC-130J,C-130,FIXED WING,1/22/2014 23:11,102,Crack
31,1,Archived,103,SQD-112,MCAS Futenma JP,Okinawa,PACIFIC,127.776381,26.290622,167109,KC-130J,C-130,FIXED WING,1/22/2014 23:11,8,Crack
32,1,Cancelled,0,SQD-112,MCAS Futenma JP,Okinawa,PACIFIC,127.776381,26.290622,167106,KC-130J,C-130,FIXED WING,1/22/2014 23:11,66,Crack
34,1,Archived,103,SQD-112,MCAS Futenma JP,Okinawa,PACIFIC,127.776381,26.290622,166763,KC-130J,C-130,FIXED WING,1/22/2014 23:11,35,Crack
35,1,Archived,103,SQD-112,MCAS Futenma JP,Okinawa,PACIFIC,127.776381,26.290622,167109,KC-130J,C-130,FIXED WING,1/22/2014 23:11,117,Crack
36,1,Archived,103,SQD-112,MCAS Futenma JP,Okinawa,PACIFIC,127.776381,26.290622,167106,KC-130J,C-130,FIXED WING,1/22/2014 23:11,76,Crack
37,1,Cancelled,0,SQD-112,MCAS Futenma JP,Okinawa,PACIFIC,127.776381,26.290622,166763,KC-130J,C-130,FIXED WING,1/22/2014 23:11,35,Crack
39,1,Archived,103,SQD-9,Afghanistan,Afghanistan,CENTCOM,63.800354,31.313168,163081,CH-53E,H-53,ROTOR,1/22/2014 23:11,88,
41,2,Archived,103,SQD-112,MCAS Futenma JP,Okinawa,PACIFIC,127.776381,26.290622,167981,KC-130J,C-130,FIXED WING,1/22/2014 23:11,58,
42,2,Archived,103,SQD-9,Afghanistan,Afghanistan,CENTCOM,63.800354,31.313168,162499,CH-53E,H-53,ROTOR,1/22/2014 23:11,80,Crack
